iter	Passed	Remaining
0	2	292
1	5	270
2	7	237
3	8	210
4	10	200
5	12	194
6	14	189
7	16	190
8	18	187
9	20	186
10	22	182
11	24	180
12	26	176
13	28	173
14	30	173
15	32	172
16	35	171
17	37	168
18	38	165
19	40	163
20	42	160
21	44	158
22	46	155
23	48	152
24	50	152
25	52	149
26	54	147
27	56	144
28	58	142
29	60	140
30	61	137
31	63	135
32	65	133
33	67	131
34	69	129
35	71	127
36	73	125
37	75	123
38	77	120
39	79	119
40	81	116
41	81	113
42	83	110
43	85	108
44	87	106
45	89	104
46	91	102
47	93	100
48	95	98
49	96	96
50	98	94
51	100	92
52	103	91
53	107	91
54	110	90
55	113	89
56	117	88
57	122	88
58	126	87
59	128	85
60	131	84
61	133	81
62	136	80
63	138	77
64	140	75
65	143	73
66	146	71
67	148	70
68	151	67
69	154	66
70	157	64
71	160	62
72	162	60
73	165	58
74	167	55
75	170	53
76	171	51
77	173	49
78	175	46
79	177	44
80	179	42
81	181	39
82	183	37
83	185	35
84	187	33
85	189	30
86	191	28
87	193	26
88	195	24
89	196	21
90	199	19
91	200	17
92	202	15
93	204	13
94	206	10
95	208	8
96	210	6
97	211	4
98	213	2
99	215	0
