iter	Passed	Remaining
0	153	153259
1	155	77758
2	160	53442
3	163	40640
4	165	32902
5	167	27742
6	170	24224
7	176	21931
8	179	19815
9	182	18079
10	185	16665
11	189	15625
12	192	14582
13	194	13669
14	196	12919
15	198	12232
16	201	11635
17	204	11172
18	207	10690
19	209	10265
20	211	9858
21	213	9484
22	215	9144
23	219	8909
24	221	8625
25	223	8385
26	226	8149
27	228	7928
28	234	7847
29	236	7659
30	239	7484
31	242	7321
32	244	7168
33	249	7077
34	252	6954
35	254	6825
36	263	6858
37	266	6744
38	269	6630
39	271	6521
40	274	6429
41	277	6329
42	280	6232
43	282	6137
44	285	6052
45	293	6077
46	297	6035
47	301	5983
48	310	6016
49	312	5944
50	326	6075
51	329	6001
52	334	5978
53	338	5923
54	340	5854
55	343	5788
56	350	5794
57	353	5734
58	366	5851
59	370	5805
60	373	5756
61	379	5737
62	388	5774
63	396	5805
64	399	5749
65	402	5696
66	417	5813
67	450	6171
68	453	6112
69	459	6101
70	465	6085
71	468	6042
72	474	6025
73	477	5974
74	480	5925
75	485	5902
76	513	6158
77	520	6151
78	523	6103
79	527	6068
80	530	6019
81	533	5971
82	537	5941
83	540	5897
84	543	5850
85	546	5804
86	557	5845
87	559	5801
88	562	5759
89	566	5724
90	569	5684
91	571	5643
92	574	5602
93	578	5578
94	583	5562
95	587	5530
96	590	5497
97	595	5478
98	597	5441
99	600	5406
100	603	5374
101	610	5378
102	614	5350
103	617	5316
104	623	5312
105	646	5449
106	648	5415
107	651	5380
108	660	5400
109	663	5367
110	665	5333
111	674	5344
112	676	5313
113	680	5287
114	696	5360
115	699	5330
116	705	5327
117	708	5296
118	711	5267
119	714	5236
120	721	5237
121	722	5202
122	726	5178
123	729	5151
124	739	5177
125	742	5149
126	744	5116
127	750	5112
128	753	5086
129	756	5060
130	759	5035
131	764	5025
132	767	5004
133	770	4977
134	774	4960
135	784	4983
136	787	4963
137	791	4945
138	798	4948
139	802	4930
140	805	4907
141	807	4876
142	813	4872
143	816	4856
144	819	4832
145	836	4893
146	839	4870
147	846	4872
148	849	4851
149	852	4829
150	854	4807
151	861	4804
152	864	4783
153	866	4761
154	869	4742
155	877	4750
156	881	4734
157	884	4715
158	901	4768
159	916	4809
160	919	4793
161	924	4782
162	927	4763
163	940	4796
164	943	4776
165	948	4763
166	956	4772
167	968	4797
168	971	4779
169	974	4758
170	979	4749
171	988	4756
172	991	4740
173	994	4722
174	1001	4719
175	1003	4699
176	1006	4679
177	1009	4659
178	1013	4650
179	1016	4631
180	1020	4617
181	1023	4598
182	1029	4598
183	1037	4600
184	1040	4585
185	1048	4589
186	1051	4571
187	1056	4561
188	1064	4566
189	1066	4547
190	1069	4530
191	1072	4514
192	1079	4514
193	1086	4515
194	1089	4498
195	1092	4482
196	1102	4494
197	1105	4478
198	1108	4460
199	1115	4460
200	1118	4444
201	1121	4428
202	1135	4457
203	1137	4440
204	1141	4427
205	1147	4424
206	1154	4423
207	1157	4407
208	1164	4406
209	1168	4396
210	1173	4389
211	1188	4416
212	1195	4417
213	1199	4404
214	1202	4391
215	1206	4380
216	1211	4370
217	1214	4355
218	1216	4339
219	1219	4322
220	1225	4320
221	1228	4304
222	1231	4289
223	1236	4282
224	1240	4272
225	1243	4257
226	1245	4242
227	1248	4226
228	1273	4288
229	1276	4273
230	1290	4295
231	1293	4280
232	1296	4266
233	1302	4263
234	1306	4253
235	1314	4255
236	1317	4240
237	1320	4228
238	1326	4223
239	1329	4210
240	1332	4195
241	1335	4181
242	1344	4187
243	1347	4176
244	1351	4164
245	1359	4166
246	1365	4163
247	1369	4151
248	1376	4150
249	1378	4136
250	1381	4122
251	1394	4138
252	1397	4125
253	1399	4111
254	1406	4108
255	1409	4095
256	1417	4098
257	1420	4085
258	1423	4071
259	1434	4083
260	1437	4069
261	1447	4078
262	1451	4067
263	1453	4053
264	1456	4039
265	1463	4037
266	1465	4022
267	1467	4007
268	1469	3993
269	1472	3980
270	1480	3981
271	1482	3968
272	1486	3959
273	1496	3965
274	1500	3955
275	1508	3956
276	1513	3950
277	1515	3936
278	1518	3925
279	1523	3917
280	1527	3908
281	1530	3896
282	1534	3887
283	1539	3882
284	1542	3870
285	1544	3856
286	1547	3843
287	1549	3830
288	1555	3825
289	1557	3813
290	1560	3801
291	1562	3788
292	1564	3775
293	1569	3769
294	1572	3757
295	1574	3744
296	1576	3732
297	1579	3720
298	1584	3714
299	1588	3705
300	1590	3693
301	1592	3681
302	1594	3668
303	1600	3665
304	1603	3653
305	1605	3641
306	1607	3629
307	1610	3618
308	1616	3615
309	1619	3603
310	1621	3591
311	1623	3579
312	1625	3567
313	1631	3564
314	1633	3552
315	1636	3541
316	1638	3529
317	1640	3518
318	1645	3513
319	1648	3502
320	1650	3491
321	1652	3479
322	1654	3468
323	1656	3456
324	1662	3453
325	1665	3442
326	1667	3431
327	1669	3420
328	1671	3408
329	1677	3406
330	1679	3395
331	1682	3384
332	1684	3373
333	1686	3363
334	1692	3360
335	1695	3351
336	1698	3341
337	1701	3333
338	1707	3328
339	1709	3318
340	1711	3307
341	1714	3298
342	1716	3288
343	1721	3282
344	1724	3273
345	1726	3263
346	1729	3254
347	1731	3244
348	1736	3238
349	1739	3230
350	1742	3222
351	1745	3213
352	1748	3204
353	1756	3205
354	1758	3195
355	1761	3187
356	1764	3177
357	1768	3171
358	1771	3162
359	1773	3153
360	1776	3144
361	1783	3144
362	1786	3135
363	1789	3126
364	1792	3118
365	1799	3116
366	1801	3106
367	1803	3096
368	1805	3087
369	1807	3077
370	1815	3077
371	1819	3071
372	1821	3062
373	1829	3062
374	1832	3054
375	1835	3046
376	1843	3045
377	1845	3037
378	1850	3031
379	1853	3024
380	1863	3027
381	1865	3018
382	1868	3010
383	1877	3011
384	1879	3003
385	1884	2998
386	1895	3001
387	1898	2994
388	1909	2998
389	1913	2992
390	1918	2987
391	1924	2984
392	1928	2977
393	1937	2980
394	1944	2977
395	1952	2978
396	1967	2988
397	1973	2984
398	1982	2986
399	1986	2979
400	1990	2973
401	2001	2976
402	2005	2970
403	2019	2979
404	2023	2973
405	2031	2972
406	2034	2964
407	2038	2957
408	2046	2957
409	2049	2948
410	2051	2940
411	2054	2931
412	2062	2932
413	2065	2923
414	2069	2916
415	2075	2913
416	2078	2905
417	2081	2898
418	2084	2890
